customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges,TotalCharges1
1680-VDCWW,Male,0,Yes,No,12,1,No,No,No internet service,No internet service,No internet service,0,0,0,One year,No,Bank transfer (automatic),19.8,0,202.25,202.25
1066-JKSGK,Male,0,No,No,1,1,No,No,No internet service,No internet service,No internet service,0,0,0,Month-to-month,No,Mailed check,20.15,1,20.15,20.15
3638-WEABW,Female,0,Yes,No,58,1,Yes,DSL,No,Yes,No,1,0,0,Two year,Yes,Credit card (automatic),59.9,0,3505.1,3505.1
6322-HRPFA,Male,0,Yes,Yes,49,1,No,DSL,Yes,Yes,No,1,0,0,Month-to-month,No,Credit card (automatic),59.6,0,2970.3,2970.3
6865-JZNKO,Female,0,No,No,30,1,No,DSL,Yes,Yes,No,0,0,0,Month-to-month,Yes,Bank transfer (automatic),55.3,0,1530.6,1530.6
6467-CHFZW,Male,0,Yes,Yes,47,1,Yes,Fiber optic,No,Yes,No,0,1,1,Month-to-month,Yes,Electronic check,99.35,1,4749.15,4749.15
8665-UTDHZ,Male,0,Yes,Yes,1,0,No phone service,DSL,No,Yes,No,0,0,0,Month-to-month,No,Electronic check,30.2,1,30.2,30.2
5248-YGIJN,Male,0,Yes,No,72,1,Yes,DSL,Yes,Yes,Yes,1,1,1,Two year,Yes,Credit card (automatic),90.25,0,6369.45,6369.45
8773-HHUOZ,Female,0,No,Yes,17,1,No,DSL,No,No,No,0,1,1,Month-to-month,Yes,Mailed check,64.7,1,1093.1,1093.1
3841-NFECX,Female,1,Yes,No,71,1,Yes,Fiber optic,Yes,Yes,Yes,1,0,0,Two year,Yes,Credit card (automatic),96.35,0,6766.95,6766.95
4929-XIHVW,Male,1,Yes,No,2,1,No,Fiber optic,No,No,Yes,0,1,1,Month-to-month,Yes,Credit card (automatic),95.5,0,181.65,181.65
6827-IEAUQ,Female,0,Yes,Yes,27,1,No,DSL,Yes,Yes,Yes,1,0,0,One year,No,Mailed check,66.15,0,1874.45,1874.45
7310-EGVHZ,Male,0,No,No,1,1,No,No,No internet service,No internet service,No internet service,0,0,0,Month-to-month,No,Bank transfer (automatic),20.2,0,20.2,20.2
3413-BMNZE,Male,1,No,No,1,1,No,DSL,No,No,No,0,0,0,Month-to-month,No,Bank transfer (automatic),45.25,0,45.25,45.25
6234-RAAPL,Female,0,Yes,Yes,72,1,Yes,Fiber optic,Yes,Yes,No,1,1,0,Two year,No,Bank transfer (automatic),99.9,0,7251.7,7251.7
6047-YHPVI,Male,0,No,No,5,1,No,Fiber optic,No,No,No,0,0,0,Month-to-month,Yes,Electronic check,69.7,1,316.9,316.9
6572-ADKRS,Female,0,No,No,46,1,No,Fiber optic,No,No,Yes,0,0,0,Month-to-month,Yes,Credit card (automatic),74.8,0,3548.3,3548.3
5380-WJKOV,Male,0,No,No,34,1,Yes,Fiber optic,No,Yes,Yes,0,1,1,Month-to-month,Yes,Electronic check,106.35,1,3549.25,3549.25
8168-UQWWF,Female,0,No,No,11,1,Yes,Fiber optic,No,No,Yes,0,1,1,Month-to-month,Yes,Bank transfer (automatic),97.85,1,1105.4,1105.4
8865-TNMNX,Male,0,Yes,Yes,10,1,No,DSL,No,Yes,No,0,0,0,One year,No,Mailed check,49.55,0,475.7,475.7
9489-DEDVP,Female,0,Yes,Yes,70,1,Yes,DSL,Yes,Yes,No,0,1,0,Two year,Yes,Credit card (automatic),69.2,0,4872.35,4872.35
9867-JCZSP,Female,0,Yes,Yes,17,1,No,No,No internet service,No internet service,No internet service,0,0,0,One year,No,Mailed check,20.75,0,418.25,418.25
4671-VJLCL,Female,0,No,No,63,1,Yes,DSL,Yes,Yes,Yes,1,1,0,Two year,Yes,Credit card (automatic),79.85,0,4861.45,4861.45
4080-IIARD,Female,0,Yes,No,13,1,Yes,DSL,Yes,Yes,No,1,1,0,Month-to-month,Yes,Electronic check,76.2,0,981.45,981.45
3714-NTNFO,Female,0,No,No,49,1,Yes,Fiber optic,No,No,No,0,0,1,Month-to-month,Yes,Electronic check,84.5,0,3906.7,3906.7
5948-UJZLF,Male,0,No,No,2,1,No,DSL,No,Yes,No,0,0,0,Month-to-month,No,Mailed check,49.25,0,97.0,97.0
7760-OYPDY,Female,0,No,No,2,1,No,Fiber optic,No,No,No,0,1,0,Month-to-month,Yes,Electronic check,80.65,1,144.15,144.15
7639-LIAYI,Male,0,No,No,52,1,Yes,DSL,Yes,No,No,1,1,1,Two year,Yes,Credit card (automatic),79.75,0,4217.8,4217.8
2954-PIBKO,Female,0,Yes,Yes,69,1,Yes,DSL,Yes,No,Yes,1,0,0,Two year,Yes,Credit card (automatic),64.15,0,4254.1,4254.1
8012-SOUDQ,Female,1,No,No,43,1,Yes,Fiber optic,No,Yes,No,0,1,0,Month-to-month,Yes,Electronic check,90.25,0,3838.75,3838.75
9420-LOJKX,Female,0,No,No,15,1,No,Fiber optic,Yes,Yes,No,0,1,1,Month-to-month,Yes,Credit card (automatic),99.1,1,1426.4,1426.4
6575-SUVOI,Female,1,Yes,No,25,1,Yes,DSL,Yes,No,No,1,1,0,Month-to-month,Yes,Credit card (automatic),69.5,0,1752.65,1752.65
7495-OOKFY,Female,1,Yes,No,8,1,Yes,Fiber optic,No,Yes,No,0,0,0,Month-to-month,Yes,Credit card (automatic),80.65,1,633.3,633.3
4667-QONEA,Female,1,Yes,Yes,60,1,No,DSL,Yes,Yes,Yes,1,0,1,One year,Yes,Credit card (automatic),74.85,0,4456.35,4456.35
1658-BYGOY,Male,1,No,No,18,1,Yes,Fiber optic,No,No,No,0,1,1,Month-to-month,Yes,Electronic check,95.45,1,1752.55,1752.55
8769-KKTPH,Female,0,Yes,Yes,63,1,Yes,Fiber optic,Yes,No,No,0,1,1,One year,Yes,Credit card (automatic),99.65,0,6311.2,6311.2
5067-XJQFU,Male,1,Yes,Yes,66,1,Yes,Fiber optic,No,Yes,Yes,1,1,1,One year,Yes,Electronic check,108.45,0,7076.35,7076.35
3957-SQXML,Female,0,Yes,Yes,34,1,Yes,No,No internet service,No internet service,No internet service,0,0,0,Two year,No,Credit card (automatic),24.95,0,894.3,894.3
5954-BDFSG,Female,0,No,No,72,1,Yes,Fiber optic,No,No,Yes,1,1,1,Two year,Yes,Credit card (automatic),107.5,0,7853.7,7853.7
0434-CSFON,Female,0,Yes,No,47,1,Yes,Fiber optic,No,No,Yes,0,1,1,Month-to-month,Yes,Electronic check,100.5,0,4707.1,4707.1
1215-FIGMP,Male,0,No,No,60,1,Yes,Fiber optic,No,Yes,No,0,1,0,Month-to-month,Yes,Bank transfer (automatic),89.9,0,5450.7,5450.7
0526-SXDJP,Male,0,Yes,No,72,0,No phone service,DSL,Yes,Yes,Yes,0,0,0,Two year,No,Bank transfer (automatic),42.1,0,2962.0,2962.0
0557-ASKVU,Female,0,Yes,Yes,18,1,No,DSL,No,No,Yes,1,0,0,One year,Yes,Credit card (automatic),54.4,0,957.1,957.1
5698-BQJOH,Female,0,No,No,9,1,Yes,Fiber optic,No,No,No,0,1,1,Month-to-month,No,Electronic check,94.4,1,857.25,857.25
5122-CYFXA,Female,0,No,No,3,1,No,DSL,No,Yes,No,1,1,1,Month-to-month,Yes,Electronic check,75.3,0,244.1,244.1
8627-ZYGSZ,Male,0,Yes,No,47,1,Yes,Fiber optic,No,Yes,No,0,0,0,One year,Yes,Electronic check,78.9,0,3650.35,3650.35
3410-YOQBQ,Female,0,No,No,31,1,No,DSL,No,Yes,Yes,1,1,1,Two year,No,Mailed check,79.2,0,2497.2,2497.2
3170-NMYVV,Female,0,Yes,Yes,50,1,No,No,No internet service,No internet service,No internet service,0,0,0,Two year,No,Bank transfer (automatic),20.15,0,930.9,930.9
7410-OIEDU,Male,0,No,No,10,1,No,Fiber optic,Yes,No,Yes,0,0,0,Month-to-month,Yes,Mailed check,79.85,0,887.35,887.35
2273-QCKXA,Male,0,No,No,1,1,No,DSL,No,No,No,1,0,0,Month-to-month,No,Mailed check,49.05,0,49.05,49.05
0731-EBJQB,Female,0,Yes,Yes,52,1,No,No,No internet service,No internet service,No internet service,0,0,0,One year,Yes,Electronic check,20.4,0,1090.65,1090.65
1891-QRQSA,Male,1,Yes,Yes,64,1,Yes,Fiber optic,Yes,No,Yes,1,1,1,Two year,Yes,Bank transfer (automatic),111.6,0,7099.0,7099.0
8028-PNXHQ,Male,0,Yes,Yes,62,1,Yes,No,No internet service,No internet service,No internet service,0,0,0,Two year,Yes,Bank transfer (automatic),24.25,0,1424.6,1424.6
5630-AHZIL,Female,0,No,Yes,3,1,No,DSL,Yes,No,No,1,0,1,Month-to-month,Yes,Bank transfer (automatic),64.5,0,177.4,177.4
2673-CXQEU,Female,1,No,No,56,1,Yes,Fiber optic,Yes,Yes,Yes,0,1,1,One year,No,Electronic check,110.5,0,6139.5,6139.5
6416-JNVRK,Female,0,No,No,46,1,No,DSL,No,No,No,0,0,1,One year,No,Credit card (automatic),55.65,0,2688.85,2688.85
5590-ZSKRV,Female,0,Yes,Yes,8,1,No,DSL,Yes,Yes,No,0,0,0,Month-to-month,No,Mailed check,54.65,0,482.25,482.25
0191-ZHSKZ,Male,1,No,No,30,1,No,DSL,Yes,Yes,No,0,1,1,Month-to-month,Yes,Electronic check,74.75,0,2111.3,2111.3
3887-PBQAO,Female,0,Yes,Yes,45,1,Yes,No,No internet service,No internet service,No internet service,0,0,0,One year,Yes,Credit card (automatic),25.9,0,1216.6,1216.6
5919-TMRGD,Female,0,No,Yes,1,1,No,Fiber optic,No,No,No,0,1,0,Month-to-month,Yes,Electronic check,79.35,1,79.35,79.35
8108-UXRQN,Female,0,Yes,Yes,11,0,No phone service,DSL,Yes,No,No,0,1,1,Month-to-month,No,Electronic check,50.55,0,565.35,565.35
9191-MYQKX,Female,0,Yes,No,7,1,No,Fiber optic,No,No,Yes,0,0,0,Month-to-month,Yes,Bank transfer (automatic),75.15,1,496.9,496.9
9919-YLNNG,Female,0,No,No,42,1,No,Fiber optic,No,Yes,Yes,1,1,1,Month-to-month,Yes,Bank transfer (automatic),103.8,0,4327.5,4327.5
0318-ZOPWS,Female,0,Yes,No,49,1,No,No,No internet service,No internet service,No internet service,0,0,0,Two year,Yes,Bank transfer (automatic),20.15,0,973.35,973.35
4445-ZJNMU,Male,0,No,No,9,1,Yes,Fiber optic,No,Yes,No,0,1,1,Month-to-month,Yes,Credit card (automatic),99.3,0,918.75,918.75
4808-YNLEU,Female,0,Yes,No,35,1,No,DSL,Yes,No,No,0,1,0,One year,Yes,Bank transfer (automatic),62.15,0,2215.45,2215.45
1862-QRWPE,Female,0,Yes,Yes,48,1,No,No,No internet service,No internet service,No internet service,0,0,0,Two year,No,Bank transfer (automatic),20.65,0,1057.0,1057.0
2796-NNUFI,Female,0,Yes,Yes,46,1,No,No,No internet service,No internet service,No internet service,0,0,0,Two year,Yes,Mailed check,19.95,0,927.1,927.1
3016-KSVCP,Male,0,Yes,No,29,0,No phone service,DSL,No,No,No,0,1,0,Month-to-month,No,Mailed check,33.75,0,1009.25,1009.25
4767-HZZHQ,Male,0,Yes,Yes,30,1,No,Fiber optic,No,Yes,Yes,0,0,0,Month-to-month,No,Bank transfer (automatic),82.05,0,2570.2,2570.2
2424-WVHPL,Male,1,No,No,1,1,No,Fiber optic,No,No,No,1,0,0,Month-to-month,No,Electronic check,74.7,0,74.7,74.7
7233-PAHHL,Male,0,Yes,Yes,66,1,Yes,DSL,Yes,No,Yes,1,1,1,Two year,Yes,Mailed check,84.0,0,5714.25,5714.25
6067-NGCEU,Female,0,No,No,65,1,Yes,Fiber optic,Yes,Yes,Yes,0,1,1,Month-to-month,Yes,Credit card (automatic),111.05,0,7107.0,7107.0
9848-JQJTX,Male,0,No,No,72,1,Yes,Fiber optic,No,Yes,Yes,0,1,1,Two year,Yes,Bank transfer (automatic),100.9,0,7459.05,7459.05
8637-XJIVR,Female,0,No,No,12,1,Yes,Fiber optic,Yes,No,No,0,0,0,Month-to-month,Yes,Electronic check,78.95,1,927.35,927.35
9803-FTJCG,Male,0,Yes,Yes,71,1,Yes,DSL,Yes,Yes,No,1,0,0,One year,Yes,Credit card (automatic),66.85,0,4748.7,4748.7
0278-YXOOG,Male,0,No,No,5,1,No,No,No internet service,No internet service,No internet service,0,0,0,Month-to-month,No,Mailed check,21.05,1,113.85,113.85
3212-KXOCR,Male,0,No,No,52,1,No,No,No internet service,No internet service,No internet service,0,0,0,Two year,No,Bank transfer (automatic),21.0,0,1107.2,1107.2
4598-XLKNJ,Female,1,Yes,No,25,1,No,Fiber optic,No,Yes,Yes,0,1,1,Month-to-month,Yes,Electronic check,98.5,1,2514.5,2514.5
6380-ARCEH,Male,0,No,No,1,1,No,No,No internet service,No internet service,No internet service,0,0,0,Month-to-month,No,Mailed check,20.2,0,20.2,20.2
3679-XASPY,Female,0,Yes,Yes,1,1,No,No,No internet service,No internet service,No internet service,0,0,0,Month-to-month,No,Electronic check,19.45,0,19.45,19.45
7123-WQUHX,Male,0,No,No,38,1,Yes,Fiber optic,No,No,Yes,1,1,0,One year,No,Bank transfer (automatic),95.0,0,3605.6,3605.6
5386-THSLQ,Female,1,Yes,No,66,0,No phone service,DSL,No,Yes,Yes,0,1,0,One year,No,Bank transfer (automatic),45.55,0,3027.25,3027.25
3192-NQECA,Male,0,Yes,No,68,1,Yes,Fiber optic,No,Yes,Yes,1,1,1,Two year,Yes,Bank transfer (automatic),110.0,1,7611.85,7611.85
6180-YBIQI,Male,0,No,No,5,0,No phone service,DSL,No,No,No,0,0,0,Month-to-month,No,Mailed check,24.3,0,100.2,100.2
6728-DKUCO,Female,0,Yes,Yes,72,1,Yes,Fiber optic,Yes,Yes,No,0,1,1,One year,Yes,Electronic check,104.15,0,7303.05,7303.05
9750-BOOHV,Female,0,No,No,32,0,No phone service,DSL,Yes,No,No,0,0,0,One year,No,Mailed check,30.15,0,927.65,927.65
8597-CWYHH,Male,0,No,No,43,1,Yes,Fiber optic,No,No,No,0,1,1,One year,No,Mailed check,94.35,0,3921.3,3921.3
2848-YXSMW,Male,0,Yes,Yes,72,1,No,No,No internet service,No internet service,No internet service,0,0,0,Two year,No,Credit card (automatic),19.4,0,1363.25,1363.25
0486-HECZI,Male,0,Yes,No,55,1,Yes,Fiber optic,Yes,Yes,No,0,1,0,Month-to-month,Yes,Electronic check,96.75,1,5238.9,5238.9
4549-ZDQYY,Female,0,No,No,52,1,No,DSL,Yes,No,Yes,1,0,0,One year,No,Credit card (automatic),57.95,0,3042.25,3042.25
5712-AHQNN,Female,0,No,No,43,1,No,Fiber optic,No,Yes,Yes,0,1,0,Month-to-month,Yes,Electronic check,91.65,0,3954.1,3954.1
4846-WHAFZ,Female,1,Yes,No,37,1,Yes,Fiber optic,No,No,No,0,0,0,Month-to-month,Yes,Electronic check,76.5,1,2868.15,2868.15
5256-SKJGO,Female,0,Yes,Yes,64,0,No phone service,DSL,No,Yes,No,1,1,1,Two year,Yes,Electronic check,54.6,0,3423.5,3423.5
3071-VBYPO,Male,0,Yes,Yes,3,1,No,Fiber optic,Yes,Yes,No,0,1,0,Month-to-month,No,Electronic check,89.85,0,248.4,248.4
9560-BBZXK,Female,0,No,No,36,0,No phone service,DSL,Yes,No,No,0,0,0,Two year,No,Bank transfer (automatic),31.05,0,1126.35,1126.35
5299-RULOA,Female,0,Yes,Yes,10,1,Yes,Fiber optic,Yes,No,No,0,1,1,Month-to-month,Yes,Electronic check,100.25,1,1064.65,1064.65
8402-OOOHJ,Female,0,No,No,41,1,No,No,No internet service,No internet service,No internet service,0,0,0,Two year,No,Mailed check,20.65,0,835.15,835.15
9445-ZUEQE,Male,0,Yes,Yes,27,1,Yes,Fiber optic,No,Yes,No,1,0,0,Month-to-month,Yes,Credit card (automatic),85.2,0,2151.6,2151.6
1091-SOZGA,Female,0,Yes,Yes,56,1,Yes,Fiber optic,No,No,Yes,0,1,1,One year,Yes,Credit card (automatic),99.8,0,5515.45,5515.45
2928-HLDBA,Female,0,No,No,6,1,No,No,No internet service,No internet service,No internet service,0,0,0,Month-to-month,No,Mailed check,20.7,0,112.75,112.75
0404-SWRVG,Male,0,No,No,3,1,Yes,Fiber optic,No,No,No,0,0,0,Month-to-month,Yes,Electronic check,74.4,1,229.55,229.55
6497-TILVL,Female,0,Yes,Yes,7,1,No,DSL,Yes,No,No,0,0,0,Month-to-month,No,Mailed check,50.7,0,350.35,350.35
7219-TLZHO,Female,0,Yes,Yes,4,1,No,No,No internet service,No internet service,No internet service,0,0,0,Month-to-month,No,Mailed check,20.85,0,62.9,62.9
4622-YNKIJ,Male,0,No,No,33,1,No,Fiber optic,Yes,No,No,1,1,0,Two year,Yes,Electronic check,88.95,0,3027.65,3027.65
4412-YLTKF,Female,1,No,No,27,1,Yes,Fiber optic,No,No,Yes,0,0,0,Month-to-month,Yes,Electronic check,78.05,1,2135.5,2135.5
6734-PSBAW,Male,0,Yes,No,72,1,Yes,No,No internet service,No internet service,No internet service,0,0,0,Two year,Yes,Bank transfer (automatic),23.55,0,1723.95,1723.95
3930-ZGWVE,Male,0,No,No,1,1,No,No,No internet service,No internet service,No internet service,0,0,0,Month-to-month,No,Mailed check,19.75,0,19.75,19.75
2639-UGMAZ,Male,1,No,No,71,0,No phone service,DSL,Yes,Yes,No,0,1,1,One year,Yes,Electronic check,56.45,0,3985.35,3985.35
2876-GZYZC,Female,0,No,No,13,1,Yes,Fiber optic,No,No,No,0,0,1,Month-to-month,Yes,Electronic check,85.95,0,1215.65,1215.65
6207-WIOLX,Female,0,Yes,Yes,25,0,No phone service,DSL,Yes,Yes,Yes,0,1,1,Month-to-month,Yes,Credit card (automatic),58.6,1,1502.65,1502.65
8587-XYZSF,Male,0,No,No,67,1,No,DSL,No,No,No,1,0,0,Two year,No,Bank transfer (automatic),50.55,0,3260.1,3260.1
3091-FYHKI,Male,0,No,No,1,0,No phone service,DSL,No,No,No,0,0,1,Month-to-month,Yes,Electronic check,35.45,1,35.45,35.45
2372-HWUHI,Male,0,No,No,2,1,No,DSL,No,No,No,0,0,0,Month-to-month,No,Electronic check,44.35,1,81.25,81.25
7799-LGRDP,Female,0,No,No,43,1,Yes,No,No internet service,No internet service,No internet service,0,0,0,Two year,Yes,Credit card (automatic),25.7,0,1188.2,1188.2
7850-VWJUU,Female,0,No,No,23,1,No,Fiber optic,Yes,No,No,0,0,0,Month-to-month,Yes,Bank transfer (automatic),75.0,0,1778.5,1778.5
3774-VBNXY,Female,0,Yes,Yes,64,1,No,No,No internet service,No internet service,No internet service,0,0,0,Two year,No,Mailed check,20.2,0,1277.75,1277.75
6217-KDYWC,Male,0,No,Yes,57,1,No,No,No internet service,No internet service,No internet service,0,0,0,Two year,Yes,Mailed check,19.6,0,1170.55,1170.55
0390-DCFDQ,Female,1,Yes,No,1,1,No,Fiber optic,No,No,No,0,0,0,Month-to-month,Yes,Mailed check,70.45,1,70.45,70.45
3146-MSEGF,Female,1,Yes,Yes,72,1,Yes,DSL,Yes,Yes,Yes,1,1,1,Two year,Yes,Credit card (automatic),88.05,0,6425.65,6425.65
4080-OGPJL,Female,0,No,No,8,1,Yes,DSL,Yes,No,No,1,0,1,Month-to-month,No,Electronic check,71.15,1,563.65,563.65
1095-WGNGG,Female,0,Yes,No,61,1,Yes,Fiber optic,No,Yes,No,0,1,1,Two year,Yes,Bank transfer (automatic),101.05,0,5971.25,5971.25
2636-SJDOU,Male,0,No,No,64,1,Yes,Fiber optic,Yes,Yes,No,0,0,0,One year,Yes,Credit card (automatic),84.3,0,5289.05,5289.05
1131-QQZEB,Male,1,Yes,No,71,1,Yes,No,No internet service,No internet service,No internet service,0,0,0,Two year,No,Bank transfer (automatic),23.95,0,1756.2,1756.2
5716-EZXZN,Female,0,Yes,Yes,65,1,Yes,Fiber optic,Yes,Yes,No,1,1,0,Two year,Yes,Credit card (automatic),99.05,0,6416.7,6416.7
6837-BJYDQ,Male,0,No,No,3,1,No,No,No internet service,No internet service,No internet service,0,0,0,One year,No,Mailed check,19.6,0,61.35,61.35
2135-RXIHG,Male,0,No,No,1,1,No,DSL,No,No,No,0,0,0,Month-to-month,Yes,Electronic check,45.65,1,45.65,45.65
6440-DKQGE,Male,0,No,Yes,30,1,No,DSL,No,Yes,Yes,0,1,0,One year,No,Credit card (automatic),64.5,0,1929.95,1929.95
3466-BYAVD,Male,0,Yes,Yes,15,1,No,DSL,No,Yes,Yes,1,0,1,Month-to-month,Yes,Mailed check,69.5,0,1071.4,1071.4
3780-YVMFA,Female,0,Yes,Yes,8,1,No,DSL,No,No,No,1,1,1,Month-to-month,Yes,Electronic check,68.55,0,564.35,564.35
3874-EQOEP,Male,0,No,No,7,1,Yes,Fiber optic,No,No,No,0,1,1,Month-to-month,No,Mailed check,95.0,1,655.5,655.5
1679-JRFBR,Female,0,Yes,Yes,70,1,Yes,Fiber optic,Yes,Yes,Yes,0,1,1,One year,Yes,Credit card (automatic),108.15,0,7930.55,7930.55
9073-ZZIAY,Male,0,Yes,Yes,62,1,No,DSL,Yes,Yes,Yes,1,1,1,Two year,No,Electronic check,86.1,0,5215.25,5215.25
3077-RSNTJ,Female,0,Yes,Yes,6,1,No,No,No internet service,No internet service,No internet service,0,0,0,Month-to-month,No,Mailed check,19.7,0,113.5,113.5
6551-GNYDG,Female,0,Yes,Yes,14,1,No,Fiber optic,No,No,No,0,0,1,Month-to-month,Yes,Bank transfer (automatic),80.9,0,1152.8,1152.8
9167-APMXZ,Female,0,No,No,22,1,Yes,Fiber optic,No,No,No,0,1,0,Month-to-month,Yes,Bank transfer (automatic),84.15,0,1821.95,1821.95
2749-CTKAJ,Male,0,Yes,Yes,22,1,No,No,No internet service,No internet service,No internet service,0,0,0,One year,No,Mailed check,20.15,0,419.9,419.9
6371-NZYEG,Male,0,Yes,Yes,16,1,No,DSL,Yes,No,Yes,0,1,0,Two year,No,Mailed check,64.25,0,1024.0,1024.0
7554-NEWDD,Male,0,No,No,10,1,Yes,No,No internet service,No internet service,No internet service,0,0,0,Two year,No,Bank transfer (automatic),25.7,0,251.6,251.6
8992-VONJD,Female,0,No,Yes,13,1,No,DSL,Yes,Yes,No,0,0,0,Month-to-month,Yes,Electronic check,56.0,0,764.55,764.55
0867-MKZVY,Female,0,Yes,No,20,1,Yes,Fiber optic,Yes,No,No,0,0,0,Month-to-month,No,Electronic check,82.4,1,1592.35,1592.35
4482-EWFMI,Female,0,No,No,2,1,No,Fiber optic,No,No,No,0,0,0,Month-to-month,Yes,Electronic check,69.7,0,135.2,135.2
4648-YPBTM,Male,0,No,No,53,1,Yes,DSL,No,Yes,Yes,1,0,1,Two year,Yes,Bank transfer (automatic),73.9,0,3958.25,3958.25
2907-ILJBN,Female,0,Yes,Yes,11,1,No,No,No internet service,No internet service,No internet service,0,0,0,One year,No,Mailed check,20.6,0,233.9,233.9
6345-FZOQH,Male,0,Yes,No,69,1,No,No,No internet service,No internet service,No internet service,0,0,0,Two year,No,Mailed check,19.9,0,1363.45,1363.45
3376-BMGFE,Female,0,No,No,4,1,No,Fiber optic,No,No,No,0,0,0,Month-to-month,Yes,Bank transfer (automatic),70.9,1,273.0,273.0
5997-OPVFA,Male,0,Yes,No,72,1,Yes,DSL,Yes,Yes,Yes,1,1,1,Two year,Yes,Bank transfer (automatic),89.05,0,6254.45,6254.45
3445-HXXGF,Male,1,Yes,No,58,0,No phone service,DSL,No,Yes,Yes,0,0,1,Month-to-month,Yes,Electronic check,45.3,1,2651.2,2651.2
1159-WFSGR,Female,0,Yes,Yes,16,1,No,No,No internet service,No internet service,No internet service,0,0,0,Month-to-month,No,Electronic check,20.4,0,321.4,321.4
7654-YWJUF,Male,0,Yes,No,43,1,No,Fiber optic,Yes,No,Yes,1,0,0,One year,Yes,Bank transfer (automatic),84.25,0,3539.25,3539.25
1875-QIVME,Female,0,Yes,No,2,1,Yes,Fiber optic,No,No,Yes,1,1,1,Month-to-month,Yes,Electronic check,104.4,1,242.8,242.8
