gender,tenure,PhoneService,TechSupport,StreamingTV,StreamingMovies,Churn,TotalCharges
Female,56,1,0,1,1,0,5515.45
Female,6,1,0,0,0,0,112.75
Male,3,1,0,0,0,1,229.55
Female,7,1,0,0,0,0,350.35
Female,4,1,0,0,0,0,62.9
Male,33,1,1,1,0,0,3027.65
Female,27,1,0,0,0,1,2135.5
Male,72,1,0,0,0,0,1723.95
Male,1,1,0,0,0,0,19.75
Male,71,0,0,1,1,0,3985.35
Female,13,1,0,0,1,0,1215.65
Female,25,0,0,1,1,1,1502.65
Male,67,1,1,0,0,0,3260.1
Male,1,0,0,0,1,1,35.45
Male,2,1,0,0,0,1,81.25
Female,43,1,0,0,0,0,1188.2
Female,23,1,0,0,0,0,1778.5
Female,64,1,0,0,0,0,1277.75
Male,57,1,0,0,0,0,1170.55
Female,1,1,0,0,0,1,70.45
Female,72,1,1,1,1,0,6425.65
Female,8,1,1,0,1,1,563.65
Female,61,1,0,1,1,0,5971.25
Male,64,1,0,0,0,0,5289.05
Male,71,1,0,0,0,0,1756.2
Female,65,1,1,1,0,0,6416.7
Male,3,1,0,0,0,0,61.35
Male,1,1,0,0,0,1,45.65
Male,30,1,0,1,0,0,1929.95
Male,15,1,1,0,1,0,1071.4
Female,8,1,1,1,1,0,564.35
Male,7,1,0,1,1,1,655.5
Female,70,1,0,1,1,0,7930.55
Male,62,1,1,1,1,0,5215.25
Female,6,1,0,0,0,0,113.5
Female,14,1,0,0,1,0,1152.8
Female,22,1,0,1,0,0,1821.95
Male,22,1,0,0,0,0,419.9
Male,16,1,0,1,0,0,1024.0
Male,10,1,0,0,0,0,251.6
Female,13,1,0,0,0,0,764.55
Female,20,1,0,0,0,1,1592.35
Female,2,1,0,0,0,0,135.2
Male,53,1,1,0,1,0,3958.25
Female,11,1,0,0,0,0,233.9
Male,69,1,0,0,0,0,1363.45
Female,4,1,0,0,0,1,273.0
Male,72,1,1,1,1,0,6254.45
Male,58,0,0,0,1,1,2651.2
Female,16,1,0,0,0,0,321.4
Male,43,1,1,0,0,0,3539.25
Female,2,1,1,1,1,1,242.8
Male,14,1,1,1,1,0,1181.75
Female,53,1,0,1,1,1,5000.2
Female,32,1,0,0,0,0,654.55
Female,34,1,0,0,0,0,780.2
Female,15,1,0,0,0,1,1145.7
Female,7,1,0,0,0,1,503.6
Female,15,1,0,1,1,0,1559.25
Male,61,1,0,0,0,0,1252.0
Female,1,0,0,0,0,1,29.95
Female,1,1,0,0,0,0,45.3
Male,8,1,0,0,1,1,662.65
Male,33,1,0,1,1,0,2453.3
Female,13,1,0,0,0,1,1111.65
Female,1,0,0,0,0,1,24.8
Male,20,1,0,0,0,0,1023.85
Male,3,0,1,0,0,0,82.15
Female,13,1,0,0,0,0,244.8
Female,40,1,0,0,0,0,2379.1
Male,43,1,1,0,1,0,3173.35
Male,6,1,0,0,1,1,531.0
Female,69,1,0,0,0,0,1375.4
Female,72,1,0,1,1,0,8129.3
Male,59,1,0,0,0,0,1192.7
Female,20,1,1,1,0,0,1901.65
Male,24,1,0,0,0,0,587.4
Male,59,1,1,1,1,0,6519.75
Male,72,1,1,1,1,0,8041.65
Male,1,1,0,0,0,0,20.75
Female,27,1,1,1,1,0,2681.15
Female,14,1,1,0,0,0,1112.3
Male,71,1,0,1,1,0,7405.5
Male,13,1,0,1,0,0,1033.95
Male,44,1,0,0,0,0,2958.95
Female,33,1,1,0,0,0,2684.85
Male,72,0,1,0,1,0,4179.2
Male,1,1,0,0,1,1,79.9
Female,19,1,1,1,1,1,1934.45
Male,64,1,1,1,1,0,6654.1
Male,2,1,0,0,0,1,84.5
Female,1,0,0,0,0,0,25.25
Male,61,1,0,0,0,0,1124.2
Female,29,1,0,0,0,0,540.05
Male,23,1,0,0,1,0,1975.85
Female,57,0,0,1,1,0,3437.45
Male,72,0,1,0,0,0,3139.8
Male,66,0,1,1,0,0,3789.2
Male,65,1,1,1,1,0,5324.5
Female,8,1,0,1,0,0,624.6
Female,4,1,0,0,0,1,268.35
Female,71,1,0,0,0,0,1836.9
Male,1,1,0,0,0,0,20.2
Male,4,1,1,0,0,1,179.35
Female,12,1,0,0,0,0,219.35
Male,24,0,0,1,1,0,1288.75
Female,31,1,1,1,1,0,2545.75
Female,1,1,0,1,0,1,55.2
Male,30,1,1,0,1,0,2723.15
Female,47,1,1,1,1,0,4107.25
Male,54,1,1,1,1,0,5760.65
Male,50,1,1,0,1,0,4747.5
Male,1,1,0,0,1,1,84.6
Female,72,1,0,0,0,0,1566.9
Female,29,1,0,0,0,0,702.0
Male,2,1,0,0,0,1,114.1
Female,10,0,1,0,0,0,299.05
Male,18,1,0,0,0,0,1305.95
Female,11,1,0,1,1,1,1120.3
Male,16,1,0,0,0,0,284.35
Female,72,1,1,1,1,0,6350.5
Male,72,1,1,1,1,0,7878.3
Female,41,1,1,1,1,0,3187.65
Female,65,1,0,0,1,0,6126.15
Female,13,1,0,0,0,0,731.3
Male,4,1,0,0,0,0,273.4
Male,41,1,0,0,1,0,2531.8
Male,15,1,0,0,0,1,1074.3
Male,1,1,0,0,0,1,48.55
Male,42,1,0,0,1,0,4298.45
Female,51,1,0,1,0,0,4619.55
Female,2,1,0,0,0,1,147.15
Male,1,0,0,1,0,1,40.2
Male,32,1,1,1,1,0,2633.3
Male,10,1,0,0,0,0,193.05
Female,67,0,1,1,1,0,4103.9
Female,61,1,1,1,1,0,7008.15
Male,50,1,1,1,1,0,5791.1
Female,2,1,0,0,0,1,80.55
Female,29,0,0,0,1,0,1228.65
Male,3,0,0,0,1,1,132.2
Male,13,1,0,1,1,1,1364.3
Male,57,1,0,0,1,0,4925.35
Female,31,0,1,0,1,0,1520.1
Female,45,1,1,1,1,0,5032.25
Female,61,1,1,1,1,0,5526.75
Male,50,1,0,0,0,0,1195.25
Female,19,1,1,1,1,0,2007.25
Male,59,1,0,0,0,1,1099.6
Female,71,1,0,0,0,0,1732.95
Female,16,1,1,1,1,1,1511.2
Male,57,1,1,0,0,0,3450.15
Male,1,0,0,0,0,1,24.8
Male,20,1,1,1,1,0,2172.05
Male,1,1,0,0,0,1,70.6
Male,5,1,1,0,0,1,401.1
Female,52,1,0,1,1,1,5624.85
Male,21,1,0,0,1,0,1339.8
Male,14,0,1,1,1,0,771.95
Female,5,1,0,0,0,0,244.75
Female,6,1,0,0,0,0,322.9
Female,10,1,0,0,0,0,498.25
Female,1,1,0,0,0,0,25.4
Female,68,1,0,0,0,0,3687.75
Male,18,1,0,1,1,1,1779.95
Female,22,1,0,0,0,0,1783.6
Female,20,1,0,0,0,0,927.15
Male,1,1,0,0,0,1,70.0
Male,8,1,0,0,0,1,606.55
Male,10,1,0,0,0,1,435.4
Male,24,1,0,0,0,1,1712.7
Male,35,1,0,0,0,0,2021.2
Male,23,1,1,0,0,0,1940.8
Female,6,1,0,1,1,0,567.8
Female,12,1,0,0,0,0,220.35
Male,1,1,0,0,0,0,20.25
Female,71,1,0,0,0,0,5436.45
Male,35,1,0,1,1,0,3437.5
Male,40,1,0,1,1,0,3015.75
Female,1,1,0,0,0,1,73.6
Male,23,1,0,1,1,0,1509.8
Female,4,1,0,1,1,1,396.1
Male,4,1,1,0,1,0,356.65
Female,68,0,1,1,1,0,4109.0
Male,38,1,0,0,0,0,3141.7
Male,52,1,0,0,0,0,1229.1
Male,32,1,0,0,0,1,2303.35
Male,29,1,1,1,1,0,2054.4
Male,38,1,0,1,1,0,3741.85
Male,48,1,0,1,1,0,3682.45
Female,1,1,0,0,0,0,19.25
Female,22,1,1,0,1,0,1886.25
Female,43,1,1,1,1,0,4895.1
Female,5,1,0,0,0,0,341.6
Male,5,1,0,1,0,1,415.55
Male,51,1,1,1,1,0,5686.4
Male,71,1,0,0,0,0,1355.1
Female,38,1,1,1,1,1,3058.65
Male,24,1,0,1,1,1,2231.05
Male,35,1,1,1,0,0,3236.35
Female,54,1,1,1,1,1,4350.1
Female,72,0,1,1,1,0,4264.0
Male,1,1,0,0,0,0,44.8
Female,9,1,0,0,0,0,422.3
Male,69,0,1,1,1,0,4176.7
Female,52,1,1,1,1,0,5138.1
Female,11,1,1,1,0,0,880.05
Female,2,1,0,0,0,1,139.05
Female,28,0,0,1,0,0,973.65
Female,17,1,0,0,0,0,1470.05
Female,35,1,0,0,0,0,739.35
Female,8,1,0,0,0,0,161.95
Male,46,1,0,1,0,0,4422.95
Female,7,1,0,0,0,1,511.25
Female,2,1,0,0,0,1,155.8
Male,68,1,1,0,1,1,5293.95
Female,43,1,0,1,1,1,4759.85
Female,68,1,1,1,1,0,6148.45
Female,36,1,0,1,1,0,3565.65
Male,63,1,0,1,1,1,6603.0
Female,32,1,1,0,0,0,1830.1
Female,71,1,1,1,1,0,6223.8
Female,66,1,0,0,0,0,4508.65
Male,63,1,0,0,0,0,1328.15
Female,41,1,0,0,0,0,865.0
Female,1,1,0,0,0,0,72.1
Female,2,1,0,1,1,1,168.2
Female,70,1,0,0,0,0,1303.5
Female,23,0,0,1,1,0,996.85
Female,64,1,0,0,1,0,6430.9
Male,37,1,1,0,0,0,2278.75
Male,17,1,0,0,0,0,681.4
Female,7,1,0,1,1,0,574.35
Male,4,1,0,0,0,1,371.9
Female,21,0,0,1,0,1,840.1
Female,10,1,0,0,1,1,846.0
Female,16,1,0,0,0,0,889.0
Male,64,1,1,1,1,0,6823.4
Male,27,0,0,0,0,1,805.1
Male,42,1,0,1,1,0,4016.75
Male,5,1,0,0,0,0,83.75
Female,41,1,1,1,1,0,3959.15
Male,58,1,0,0,0,0,2878.55
Female,47,1,0,0,0,0,945.7
Male,18,1,1,0,0,0,1373.05
Male,5,1,0,1,1,1,492.55
Male,23,1,0,0,1,0,1406.0
Female,1,1,0,0,0,0,19.15
Male,71,1,0,1,1,0,6962.85
Male,72,1,1,1,1,0,8126.65
Male,33,1,0,0,0,0,690.25
Male,2,1,0,1,0,1,181.5
Male,24,0,1,0,0,0,830.8
Female,56,1,1,0,1,0,5608.4
Male,37,1,0,1,1,0,3646.8
Female,43,1,1,1,1,0,3662.25
Male,1,0,0,0,0,0,25.35
Female,25,1,1,1,1,1,2566.5
Female,61,1,1,1,1,0,5308.7
Male,17,1,1,0,0,0,1410.25
Female,41,1,1,0,0,0,3339.05
Male,1,1,0,0,0,1,50.65
Male,72,0,1,1,1,0,4732.35
Male,1,1,0,0,1,1,90.85
Male,48,1,0,1,1,0,5067.45
Male,11,1,0,0,0,1,214.75
Female,55,1,0,0,0,1,4874.7
Female,42,0,1,0,1,0,2348.45
Male,44,1,0,0,1,0,4063.0
Male,1,1,0,0,0,0,44.0
Female,27,1,0,1,1,0,2595.25
Male,27,1,1,1,1,0,2309.55
Female,2,1,0,0,0,0,89.3
Female,19,1,0,0,0,0,367.55
Female,42,1,0,1,1,0,3944.5
Female,66,1,1,1,1,0,5965.95
Male,33,1,1,1,1,0,3694.7
Female,34,1,0,0,0,1,2524.45
Male,33,0,1,1,1,0,1803.7
Female,23,1,0,0,0,0,415.1
Female,32,1,0,0,0,0,624.15
Female,11,1,0,0,0,0,237.7
Male,69,1,0,1,1,1,7007.6
Female,68,1,1,0,0,0,3848.8
Male,20,1,0,0,0,0,419.4
Male,72,1,0,0,0,0,1468.75
Male,60,1,0,1,0,0,5812.0
Male,32,1,0,1,1,0,2861.45
Female,1,1,0,0,0,1,19.9
Male,1,1,0,0,0,1,19.6
Male,3,1,0,0,0,1,233.7
Female,46,1,0,0,0,0,1066.15
Female,29,1,0,0,0,0,2149.05
Male,51,1,1,0,0,0,4473.0
Female,48,1,0,0,0,0,3545.05
Female,16,1,0,0,0,0,1195.75
Male,70,1,1,0,1,0,6858.9
Female,40,1,0,0,0,0,1024.7
Female,22,1,0,0,1,1,1845.9
Female,1,1,0,0,0,1,75.3
Female,5,1,0,0,0,0,132.25
Female,7,1,0,0,0,0,515.45
Male,29,1,1,0,1,0,2830.45
Male,44,1,0,0,0,0,1110.5
Female,10,0,0,0,0,0,449.3
Female,55,1,0,0,0,0,2838.55
Male,52,1,0,1,1,0,5376.4
Female,10,1,0,0,1,0,858.6
Male,18,1,0,0,0,0,1395.05
Female,68,1,1,0,0,0,3975.7
Female,61,1,0,0,0,1,1182.55
Female,72,0,1,1,1,0,4784.45
Male,2,1,0,0,0,0,119.5
Male,12,1,0,0,0,1,518.9
Male,41,1,0,0,0,0,899.45
Female,26,0,1,1,0,0,1183.8
Male,36,1,0,0,0,0,720.05
Male,72,1,1,1,1,0,8468.2
Male,35,1,1,0,1,0,3161.2
Male,1,1,1,0,0,0,55.05
Female,16,1,1,1,1,0,1882.55
Female,49,1,0,1,1,0,5070.4
Female,54,1,1,1,1,0,6049.5
Female,18,1,0,0,1,0,1166.7
Female,36,1,0,0,1,0,2937.65
Female,60,1,0,1,1,1,6396.45
Female,1,1,0,0,0,1,69.55
Female,52,1,0,0,0,0,1270.25
Male,8,1,0,1,1,0,759.55
Male,72,1,1,1,1,0,7611.55
Female,64,1,0,0,0,0,1642.75
Female,22,1,1,0,1,0,1545.4
Male,60,0,1,1,1,0,3582.4
Female,28,1,0,0,1,1,2227.1
Female,61,1,0,0,0,0,1417.9
Female,24,1,0,1,1,0,2494.65
Male,28,1,1,1,0,0,2768.35
Female,30,1,1,1,1,0,2369.3
Male,2,1,0,0,0,0,38.0
Male,1,1,0,0,0,0,75.1
Male,6,1,0,0,0,0,100.9
Female,24,1,0,1,1,0,1614.05
Male,4,1,0,1,1,1,385.9
Male,7,1,0,1,1,1,673.25
Male,72,1,1,1,1,0,8404.9
Male,70,0,1,0,1,0,2799.75
Male,64,1,1,1,1,0,6538.45
Male,72,1,0,1,0,0,6588.95
Female,44,1,0,0,0,0,868.1
Female,13,1,0,0,1,1,734.35
Female,17,1,0,0,0,0,330.6
Male,1,1,0,0,1,1,55.0
Male,9,1,0,1,1,0,564.4
Male,24,1,1,0,0,0,1315.35
Female,1,1,0,0,0,1,74.7
Male,24,1,0,0,0,1,1861.5
Male,35,1,1,1,1,0,2747.2
Female,7,1,1,1,0,0,554.05
Male,5,1,1,1,1,1,453.4
Female,15,1,0,0,0,1,994.8
Male,11,1,0,0,0,0,225.75
Female,48,0,0,0,1,1,2145.0
Female,20,1,0,0,1,0,1671.6
Female,72,1,1,1,1,0,8003.8
Female,8,1,0,1,0,1,680.05
Male,72,1,0,0,1,0,6130.85
Female,15,1,0,1,1,0,1415.0
Male,72,1,1,1,1,0,6201.95
Female,0,0,1,1,0,0,
Male,1,1,0,0,0,1,74.35
Male,63,1,0,1,1,0,6597.25
Female,2,1,0,1,0,0,114.15
Female,2,1,0,0,0,1,139.4
Male,61,1,0,0,1,0,3902.6
Male,1,1,0,0,0,0,20.4
Male,22,0,0,0,1,1,903.6
Male,28,1,1,0,0,0,1785.65
Female,70,1,0,0,0,0,1397.65
Female,5,0,0,0,0,1,131.05
Female,12,1,0,0,1,1,1238.45
Male,34,1,1,1,1,0,3899.05
Female,71,1,0,0,0,0,5676.0
Female,70,1,0,0,1,0,4543.15
Female,52,1,1,0,0,0,4326.8
Male,69,1,1,1,0,0,5502.55
Female,20,1,0,0,1,1,1782.4
Male,11,1,0,0,0,0,851.8
Male,2,1,1,1,1,1,167.5
Female,6,1,1,0,0,1,502.85
Female,1,1,0,0,0,0,19.85
Male,20,1,1,0,1,0,1818.3
Male,61,1,0,1,1,0,6300.15
Female,5,1,0,0,0,1,334.8
Female,56,1,1,1,1,0,5916.95
Male,30,1,1,0,0,0,2852.4
Male,40,1,1,1,1,1,4131.95
Female,28,1,1,0,0,0,1546.3
Female,5,1,0,0,0,0,302.6
Female,27,1,0,0,0,1,1929.35
Male,12,1,0,0,0,0,265.45
Male,67,1,0,1,1,0,6989.45
Male,29,1,0,0,0,0,1442.0
Male,55,1,0,0,1,0,4713.4
Female,23,1,0,0,0,1,1758.6
Male,34,1,0,1,1,1,3480.0
Male,52,1,0,1,0,0,4738.3
Male,72,1,1,1,1,0,8399.15
Male,58,1,1,1,0,0,5430.35
Male,35,1,0,0,0,0,686.95
Female,56,1,1,1,0,0,5706.3
Female,24,1,0,0,0,0,490.65
Male,70,1,0,0,0,0,1360.25
Male,2,1,0,1,0,0,174.45
Male,68,1,1,1,1,0,7379.8
Female,1,1,0,0,1,1,85.0
Male,12,1,0,1,0,0,1021.75
Female,63,1,0,0,0,0,5029.05
Female,33,1,0,0,0,0,1955.4
Female,69,1,0,1,1,0,6744.2
Female,60,1,1,1,1,0,4946.7
Female,72,1,1,1,1,0,8248.5
Female,11,1,0,0,1,0,601.6
Female,1,1,0,0,0,0,19.55
Male,10,1,0,1,0,1,834.1
Male,13,0,1,1,0,1,597.0
Male,34,1,0,0,1,0,2647.2
Male,39,1,0,1,0,1,3266.0
Female,65,1,1,1,1,0,6744.25
Male,50,1,0,1,0,0,5265.5
Male,15,1,0,0,0,0,311.6
Male,72,1,0,1,1,0,7966.9
Female,72,1,1,1,1,0,8220.4
Male,55,1,0,0,0,0,1153.25
Female,23,1,0,0,0,0,514.75
Male,32,1,0,0,0,1,2596.15
Female,56,1,0,0,1,0,3808.0
Female,1,1,0,0,0,0,19.9
Male,38,1,1,1,0,0,2708.2
Male,11,1,0,0,0,0,760.05
Male,1,1,1,0,0,0,49.3
Male,56,1,1,1,1,0,6033.3
Male,3,1,0,0,0,0,89.05
Male,7,1,0,1,1,0,516.15
Male,59,1,0,1,1,0,5861.75
Male,7,1,1,1,0,0,445.95
Male,71,1,1,0,1,0,4973.4
Male,15,1,1,1,1,0,1667.25
Male,71,1,1,1,0,0,5357.75
Female,35,1,0,1,1,1,3527.6
Female,11,0,1,0,0,0,422.6
Female,60,1,0,0,0,0,1103.25
Male,47,1,1,0,0,0,2754.0
Female,11,1,1,0,1,0,697.25
Male,56,1,0,1,1,1,5614.45
Female,28,1,1,1,1,0,3204.4
Male,61,1,1,1,1,0,4747.65
Male,31,1,0,1,0,0,3082.1
Male,9,1,0,0,0,0,597.9
Male,35,1,0,0,1,0,3365.4
Male,2,1,0,0,0,0,38.8
Female,12,1,0,0,0,1,233.55
Female,1,1,0,0,0,1,75.3
Female,4,1,0,1,0,1,346.2
Female,1,1,0,0,0,0,19.0
Female,3,1,0,0,0,0,61.7
Female,1,1,0,1,0,1,85.7
Male,52,1,0,1,0,0,3342.45
Male,5,1,0,0,0,0,85.1
Male,72,1,0,0,1,0,7422.1
Male,71,1,1,1,1,0,6668.05
Male,72,1,1,1,1,0,8071.05
Male,46,1,0,0,0,0,1174.8
Male,63,1,0,1,1,0,5435.0
Male,30,1,0,0,0,0,2438.6
Male,1,1,0,0,0,0,45.6
Female,12,1,1,0,0,1,713.75
Male,16,0,1,1,0,0,916.15
Male,4,1,1,0,1,0,237.2
Male,51,1,0,0,1,0,4614.55
Male,65,1,0,0,0,0,1414.45
Male,16,1,1,0,0,0,1170.5
Male,2,1,0,0,0,0,47.7
Female,66,1,0,0,0,0,4859.25
Male,46,1,1,1,1,0,4903.2
Female,32,1,1,1,1,0,3608.0
Male,72,1,1,1,1,0,6094.25
Male,38,1,1,1,1,0,3084.9
Male,51,1,1,0,0,0,2356.75
Male,72,1,1,1,1,0,8306.05
Female,65,1,0,1,1,1,6786.4
Male,9,0,0,0,0,1,248.95
Female,9,1,1,0,0,1,663.05
Male,66,1,0,0,0,0,1357.1
Female,44,1,0,1,1,0,4860.35
Male,50,1,1,0,1,0,3418.2
Female,15,1,0,0,0,0,631.4
Male,8,0,0,0,0,0,186.3
Female,66,1,1,1,1,0,6976.75
Female,57,1,1,0,0,0,4884.85
Female,7,1,0,0,0,0,522.95
Male,10,0,0,0,1,0,362.6
Female,62,1,0,0,0,0,5755.8
Male,40,1,0,1,0,0,3355.65
Female,20,1,0,0,0,0,406.95
Female,7,1,0,0,0,1,137.6
Female,25,1,1,1,1,0,2395.7
Male,23,1,0,0,0,0,1968.1
Female,66,1,0,1,1,0,6819.45
Female,72,1,1,1,1,0,7943.45
Male,49,1,0,0,1,1,4547.25
Male,43,1,1,1,1,1,4687.9
Female,46,1,0,0,0,0,2473.95
Male,72,1,1,1,1,0,6562.9
Male,10,1,0,0,0,0,176.3
Female,40,0,1,1,1,0,2236.2
Female,65,1,0,1,1,1,6985.65
Male,31,1,1,1,1,0,3109.9
Female,68,1,1,0,0,0,4911.35
Male,56,1,0,1,1,1,5794.65
Male,10,1,0,0,1,1,855.3
Male,68,1,0,0,0,0,1620.2
Female,43,1,0,1,0,1,2499.3
Male,1,1,0,1,1,1,89.55
Female,49,1,0,0,1,0,4287.2
Female,15,1,0,0,0,0,394.85
Male,20,1,0,1,1,1,1899.65
Male,1,1,0,0,0,1,45.7
Male,50,1,1,1,0,0,3442.15
Female,2,1,0,0,1,1,161.5
Male,24,1,0,0,0,0,1732.6
Female,3,1,0,0,0,1,222.3
Female,1,1,0,0,0,1,74.6
Male,35,1,0,0,0,0,655.3
Female,17,1,0,0,0,0,475.25
Female,8,1,0,0,0,1,164.3
Male,10,1,1,1,1,0,865.1
Male,68,1,1,1,1,0,6132.7
Male,45,1,0,1,1,0,3597.5
Male,2,1,0,0,0,1,35.9
Male,37,1,0,0,0,0,697.65
Female,4,0,0,0,0,1,96.05
Female,10,1,0,0,0,0,428.7
Male,1,1,0,0,0,0,20.05
Male,65,1,0,0,1,0,4459.15
Female,57,1,0,0,0,0,1167.6
Female,3,1,0,0,0,0,238.1
Female,2,1,0,0,0,1,145.15
Male,49,0,0,0,0,0,1453.1
Female,4,1,0,0,0,1,191.05
Female,70,0,1,1,1,0,4039.3
Female,53,1,0,0,0,0,1039.45
Male,53,1,0,0,0,0,1336.1
Female,1,1,0,0,0,1,75.05
Male,22,1,0,0,0,0,493.4
Male,52,0,0,1,1,1,2550.9
Male,65,1,1,1,1,0,7246.15
Female,48,1,0,0,0,0,1203.95
Female,2,0,0,0,1,1,62.25
Male,3,1,0,1,1,0,313.6
Male,45,1,0,0,0,0,3775.85
Male,1,1,0,0,1,1,80.0
Female,61,1,1,1,1,0,4616.05
Male,3,1,1,1,0,0,195.65
Female,40,1,1,1,1,0,4188.4
Female,1,1,0,0,0,0,71.1
Female,1,1,1,0,0,0,49.9
Male,51,1,0,0,0,0,1266.4
Male,2,1,0,0,0,1,91.1
Male,52,0,0,0,0,0,1623.4
Male,51,1,0,0,1,0,4149.45
Male,1,1,0,0,0,0,20.45
Male,31,1,1,0,1,0,2344.5
Male,47,1,0,0,0,0,1013.05
Female,3,1,0,0,0,1,270.7
Female,22,1,0,0,0,0,417.0
Female,1,1,0,0,0,0,20.65
Male,72,1,1,1,1,0,6316.2
Male,3,1,0,0,0,1,168.15
Male,47,1,0,1,0,0,4018.05
Male,72,1,1,0,0,0,4811.6
Male,66,1,0,1,0,0,4189.7
Male,35,1,0,1,0,0,2848.45
Male,29,1,0,0,1,0,2516.2
Female,2,1,0,0,0,0,33.6
Male,4,1,0,0,0,0,208.45
Female,25,1,0,0,0,1,2015.35
Female,65,1,1,0,0,0,3739.8
Male,27,1,1,1,1,0,2964.0
Male,29,1,0,0,0,0,2263.4
